192,144,191
264,192,239
360,240,287
408,288,335
264,336,479
384,480,527
456,528,599
648,600,647
600,648,695
552,696,863
576,864,1007
360,744,767
384,648,743
408,840,863
264,744,1007
240,1008,1151
192,1728,1871
264,1152,1247
240,1248,1271
216,1272,1535
288,1536,1559
336,1560,1655
816,1680,1775
864,1776,1823
768,1869,1892
1200,1320,1439
1152,1440,1487
912,1488,1535
768,1536,1583
624,1584,1631
480,1632,1727
648,1248,1439
624,1440,1487
504,1488,1535
624,1008,1055
672,1056,1151
576,432,527
624,528,551
816,768,815
864,480,767
912,336,479
864,192,335
840,168,191
792,144,167
528,312,359
480,264,311
360,336,359
768,1056,1151
1152,1056,1199
768,1248,1343
816,1344,1439
912,1152,1199
816,1200,1247
1320,1176,1199
1560,1056,1175
1464,1248,1295
1488,1200,1247
1368,816,911
1320,912,959
1224,576,599
1248,600,719
1200,720,767
1152,768,959
1272,120,143
1536,144,167
1632,168,191
1656,192,311
1680,312,383
1704,384,455
1752,456,479
1776,480,719
1272,384,407
1224,408,455
1176,456,479
1128,480,599
1488,384,455
1560,456,551
1512,528,575
1392,552,623
1416,624,695
1560,696,719
1632,720,767
1752,768,863
1704,864,1055
1848,456,1127
1776,1128,1151
1872,1152,1247
1824,1248,1343
1752,1128,1175
2376,528,551
2328,552,719
2304,720,743
2280,744,767
2232,768,791
2400,408,431
2376,312,383
2304,384,479
2256,480,503
2208,504,527
2160,528,623
2616,192,239
2352,192,215
2280,216,239
2256,240,335
2232,336,431
2184,384,455
2688,144,239
2712,240,455
2592,312,359
2616,360,383
2664,384,479
2688,480,527
2712,528,743
2688,744,767
2472,528,551
2520,552,575
2544,576,599
2568,600,743
2592,744,791
2640,792,815
2712,816,1079
2688,1080,1127
2640,1128,1223
2688,1224,1343
2568,1344,1367
2496,1344,1415
2664,1392,1439
2712,1440,1487
2664,1488,1583
2712,1584,1871
2256,1344,1391
2208,1392,1631
1488,1392,1439
1440,1440,1487
1464,1488,1535
1608,1536,1583
1704,1584,1655
1680,1656,1775
1752,1776,1871
2400,1344,1559
2376,1560,1607
2352,1608,1655
2328,1656,1679
2232,1056,1103
2328,864,911
2136,912,1055
2064,1656,1892
1608,1869,1892
1200,1776,1823
1152,1824,1871
1368,1056,1108
1368,1152,1175
1464,1104,1151
1512,1056,1103
