47,144,335
143,336,383
191,384,527
167,528,647
407,648,671
455,672,767
95,768,815
143,816,863
167,864,1199
455,960,1103
407,888,959
431,864,887
503,840,863
287,768,863
311,744,767
95,1200,1295
47,1296,1463
95,1464,1607
47,1608,1679
287,1728,1775
383,1776,1823
479,1824,1871
623,1680,1727
1007,1776,1823
1055,1680,1775
1103,1632,1679
1199,1608,1631
1295,1584,1607
1343,1392,1583
1295,1320,1391
623,1869,1892
455,1488,1535
263,1248,1487
671,1488,1535
695,1272,1487
671,1248,1271
647,1200,1247
455,1152,1199
431,1104,1151
311,336,359
287,360,479
407,480,527
623,432,455
671,456,551
575,528,599
671,600,815
575,144,359
431,264,359
671,1056,1151
767,1104,1151
1055,1056,1103
1055,1392,1439
1103,1200,1391
1007,1152,1199
1271,1176,1199
1175,1104,1175
1271,1056,1103
1391,1152,1199
1463,1104,1151
1511,1056,1103
1631,1200,1247
1655,1248,1295
1655,864,1007
1607,816,863
1271,912,959
1175,768,911
1223,720,767
1319,624,719
1271,576,623
1055,912,959
1007,768,911
1055,576,767
1007,432,575
1055,240,431
1103,192,239
1127,144,191
1199,120,143
1583,696,719
1439,624,695
1415,576,623
1583,456,575
1511,384,455
1175,576,599
1151,480,575
1199,456,479
1247,408,455
1295,384,407
1439,528,575
1799,456,1055
1631,1128,1175
1583,1056,1151
1799,1152,1175
2063,1200,1343
2015,1152,1199
2063,816,1151
2255,792,815
2303,768,791
2327,744,767
2351,576,743
2399,528,575
2087,768,791
2039,648,767
2183,552,647
2231,528,551
2279,504,527
2327,408,503
2495,384,431
2543,312,383
2015,456,623
2227,432,455
2255,336,431
2279,264,335
2303,216,263
2351,192,215
2639,192,239
2087,384,455
2039,384,431
2063,288,383
2087,168,287
2303,144,167
2663,360,455
2639,336,359
2615,312,335
2615,696,767
2591,576,695
2567,552,575
2543,528,551
2519,1344,1367
2615,1392,1415
2351,1776,1871
2207,1728,1775
2231,1680,1727
2279,1560,1679
2327,1392,1559
2351,1344,1391
2087,1584,1631
1991,1488,1583
2015,1392,1487
2375,1632,1679
2399,1584,1631
2423,1344,1583
2375,1056,1103
2471,1008,1055
2567,864,1007
1679,1656,1775
1439,1869,1892
1943,1776,1892
1343,1824,1871
1295,1776,1823
1387,989,1108
