336,48,143
384,144,191
336,360,407
336,264,311
648,600,647
696,552,599
648,168,407
672,408,455
744,360,383
768,24,95
816,96,143
864,144,167
960,408,455
840,408,503
864,288,407
744,264,311
1008,240,263
1464,48,95
1872,24,191
1728,192,287
1776,288,383
1824,384,479
1872,480,623
1248,240,263
1272,216,239
1392,1296,1343
1320,1200,1295
1440,1152,1199
1488,912,1151
1536,768,911
1584,624,767
1632,480,623
1488,264,455
1440,624,647
1488,504,623
1272,672,695
1248,648,671
1200,456,647
1152,432,455
480,288,407
528,408,575
432,576,623
456,624,671
600,576,671
816,672,815
768,816,863
480,864,911
1200,1008,1103
1152,912,1007
1200,816,911
1248,768,815
1176,1176,1271
1176,1320,1367
1200,1488,1631
1248,1632,1655
1248,1464,1487
864,1608,1655
816,1368,1607
912,1320,1367
960,1272,1319
912,1176,1271
624,1272,1319
576,1224,1271
720,1200,1247
768,1152,1199
960,1056,1151
912,1008,1055
576,1008,1055
720,1584,1775
696,1440,1583
624,1416,1439
456,1512,1583
384,1272,1511
408,1224,1271
456,1176,1223
480,1128,1175
576,1152,1175
552,1512,1559
552,1392,1439
864,1704,1751
1128,1776,1847
1152,1752,1775
1152,1584,1631
1248,1824,1871
1200,2016,2063
528,2376,2399
552,2328,2375
720,2304,2327
744,2280,2303
768,2232,2279
792,2088,2231
768,2040,2087
312,2376,2543
384,2304,2375
480,2256,2303
504,2208,2255
528,2160,2207
624,2016,2159
192,2352,2639
216,2280,2351
240,2256,2279
336,2232,2255
432,2184,2231
432,2040,2087
456,2664,2711
360,2640,2663
336,2616,2639
312,2592,2615
744,2688,2711
768,2616,2687
696,2592,2615
576,2568,2591
552,2544,2567
528,2472,2543
1080,2688,2711
1128,2640,2687
1344,2568,2687
1368,2520,2567
1344,2496,2519
1488,2664,2711
1872,2352,2711
1776,2208,2351
1344,2256,2351
1392,2208,2255
1632,2088,2207
1584,1992,2087
1392,1488,2015
1440,1440,1487
1656,1680,1703
1872,1608,1751
1344,2400,2423
1560,2376,2399
1608,2352,2375
1656,2328,2351
864,2328,2567
912,2136,2327
1776,1752,1943
1872,1344,1439
1824,1296,1343
1776,1200,1295
1824,1152,1199
1872,768,1151
1152,1368,1463
1104,1464,1511
1056,1512,1583
